110000;0;北京市;1
120000;0;天津市;1
130000;0;河北省;1
140000;0;山西省;1
150000;0;内蒙古自治区;1
210000;0;辽宁省;1
220000;0;吉林省;1
230000;0;黑龙江省;1
310000;0;上海市;1
320000;0;江苏省;1
330000;0;浙江省;1
340000;0;安徽省;1
350000;0;福建省;1
360000;0;江西省;1
370000;0;山东省;1
410000;0;河南省;1
420000;0;湖北省;1
430000;0;湖南省;1
440000;0;广东省;1
450000;0;广西壮族自治区;1
460000;0;海南省;1
500000;0;重庆市;1
510000;0;四川省;1
520000;0;贵州省;1
530000;0;云南省;1
540000;0;西藏自治区;1
610000;0;陕西省;1
620000;0;甘肃省;1
630000;0;青海省;1
640000;0;宁夏回族自治区;1
650000;0;新疆维吾尔自治区;1
